4bbfb75e-7b41-4f8f-b475-051d8c21860a,Sistema de Monitoreo de Arrecifes Coralinos - SIMAC: Estructura Coralina
95dcd908-a6b9-4422-a441-42caa46724f5,Sistema de Monitoreo de Arrecifes Coralinos - SIMAC: Abundancia de peces arrecifales
6e18e05f-a198-49e2-a59d-edd721f5a677,Colección de Plancton Mixto – Sección Zooplancton del Museo de Historia Natural Marina de Colombia – Makuriwa (Invemar)
6142952e-7bbc-434f-a055-6bf140e6463d,Colección de Artropodos del Museo de Historia Natural Marina de Colombia - Makuriwa
0b7920b4-c0f5-402a-9c6c-b00acf540483,Fitoplancton de la provincia oceánica del mar Caribe colombiano. Diez años de historia
fc9cc04c-d9e6-4f5d-ba39-be3113f9f9ce,Sistema de Monitoreo de Arrecifes Coralinos - SIMAC: Abundancia de invertebrados vágiles
3f3a3f44-5734-4fa6-a62d-7f1c998a3259,Sistema de Monitoreo de Arrecifes Coralinos - SIMAC: Abundancia de Gorgonáceos
d79dbddb-aee1-4e33-82ef-58004f6603d7,Colección de Cnidarios del Museo de Historia Natural Marina de Colombia - Makuriwa
c4e73593-607d-4688-9bd7-9234928082b8,Composición del fitoplancton en la Isla Cayos de Serrana en la reserva de  BIÓSFERA - SEAFLOWER
9e3dea3d-6b47-4564-8616-14d54ffc153f,Composición y abundancia de la comunidad zooplanctónica presente en la Isla Cayos de Serrana.
754347ff-b193-4665-8fc1-9792e3c1da55,Comportamiento espacio-temporal de la densidad fitoplanctónica en el año 2015 Magdalena, Colombia
85fc9de0-2ac2-43e3-bda9-64ef66044bfb,Registros preliminares del "Catálogo de cangrejos ermitaños del mar Caribe colombiano"
0f17131c-6dad-43da-a559-fa009fdc3c54,Expedición Providencia I - INVEMAR
3b06674d-555f-4a67-8bd2-ca9c9f0755a6,Evaluación bioecológica y ambiental de las áreas arrecifales del Caribe colombiano
0569339f-a376-42f4-8453-49ab9932713d,Colección de Anelidos del Museo de Historia Natural Marina de Colombia - Makuriwa
f260b9a8-72a8-44fc-9ddc-383b7d7e54ff,Cnidarios del proyecto Macrofauna Corpoguajira
c683d802-a110-4043-95b3-3a20a7c57608,Biodiversidad de los recursos marinos y costeros entre Cartagena y el Golfo de Urabá, Caribe colombiano
6ea5869c-cb2f-495e-a99b-d100f1779109,Registros biológicos de aves Distrito de Manejo Integrado Musichi y Santuario de Fauna y Flora los Flamencos, La Guajira.
6b5c0712-d9c7-4e2f-b3a8-355ad2539081,Biodiversidad de los Ecosistemas Mesofóticos de la Isla de San Andrés
5e30b591-d94b-4d98-ae84-4dc6c93541f1,Avistamientos de Manatus Manatus Linnaeus 1758 (Mammalia) en el Via Parque Isla de Salamanca entre los años  2005-2006
7009824b-b1e4-4a67-9fe7-7ed4cf63cbef,Deep-Sea holothurians (Echinodermata, Holothuroidea) of the Colombian Southern Caribbean Sea
d7b10a4b-e588-4cf6-a5da-3064cab00af4,Registros biológicos recogidos en el marco del proyecto Census of Marine Life Componente Natural Geography in Shore Areas - NAGISA Santa Marta
08124763-5f33-485d-a3df-b6d502989ba4,Biodiversidad del Phyllum Mollusca asociada a las plataformas de explotación de gas natural (Campo Chuchupa: La Guajira, Colombia)
48e988d2-f5f2-4b69-a1a1-6fe06e0fbd29,Colección de Bacterias del Museo de Historia Natural Marina de Colombia – Makuriwa (Invemar)
39566040-b33b-44f5-ad5a-d0bb8e4e9235,Octocorals and antipatharians in the mesophotic rocky reefs of Colombian Pacific
e80bbf0a-9142-4ee8-8a2b-5a0ffebe06bc,Registros de Thalassia testudinum con aparente afectación por Labyrinthula sp. en el marco del proyecto interinstitucional Invemar-Universidad Militar Nueva Granada
58480117-eefa-49e7-abee-bad994d9d91b,Colección de Hongos del Museo de Historia Natural Marina de Colombia – Makuriwa (Invemar)
1d94f371-a3e5-4e9a-b48c-f26e864c7621,Colección de Tejidos del Museo de Historia Natural Marina de Colombia – Makuriwa (Invemar)
